name,class,tier,mode,build,video,duration,created_at,updated_at
Arccueid,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1Mz421i7kr/,88,2024-08-10T04:00:00Z,2024-08-10T04:00:00Z
BenneBoii,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=7Ihpg56GAl8,164,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Vinitia,rogue,126,softcore,"""""",https://www.youtube.com/watch?v=szTmc8pwF7E,580,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
FP S,rogue,110,softcore,https://d4builds.gg/builds/81ac7acc-faa5-4359-b8fe-42928f394197/?var=1,https://www.youtube.com/watch?v=-WUQFcydHGA,255,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
Aleks Breus,rogue,120,softcore,"""""",https://www.youtube.com/watch?v=za6A70sLf-8,510,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
Juse,sorcerer,120,softcore,https://d4builds.gg/builds/47749638-5c8e-4f46-ac41-f47103b1c5dc/?var=0,https://www.youtube.com/watch?v=LTqgwlBQKLE,238,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
NinTanDao64,rogue,134,softcore,https://maxroll.gg/d4/planner/tg1xc01v#1,https://www.youtube.com/watch?v=Xo5NSKu4E-U&t=38s,627,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
dome4mosh,rogue,123,softcore,https://d4builds.gg/builds/11282914-9e11-40d6-813d-6975a46474df/?var=0,https://www.youtube.com/watch?v=ThPaNbduFiE,218,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
快乐的润润,rogue,101,softcore,"""""",https://www.bilibili.com/video/BV1QJeweqEhe/,74,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
SoraYjy,rogue,101,softcore,"""""",https://www.bilibili.com/video/BV1xU411U79k/,370,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
少年盐一,rogue,134,softcore,"""""",https://www.bilibili.com/video/BV1Z7YoeYEJW/,802,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Siavash Enayati,sorcerer,103,softcore,"""""",https://www.youtube.com/watch?v=ysZf2XcOkt8,143,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
Arccueid,sorcerer,141,softcore,https://maxroll.gg/d4/planner/g2ebo0wz#1,https://www.youtube.com/watch?v=88CNcFdRpLo,828,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
Neme,rogue,101,softcore,"""""",https://www.youtube.com/watch?v=hKnesXHXoes,163,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
秋葉-Akiha-,necromancer,141,softcore,https://www.d2core.com/d4/planner?bd=1hgs,https://www.bilibili.com/video/BV1QRYqeiEfD/,805,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
土豆游戏代肝,sorcerer,111,softcore,"""""",https://www.bilibili.com/video/BV1vVewerEyq/,100,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
兔子加油加油,sorcerer,111,softcore,https://www.d2core.com/d4/planner?bd=1hTX,https://www.bilibili.com/video/BV1BmeweEEU6/,96,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
Darkness,necromancer,124,softcore,"""""",https://www.youtube.com/watch?v=RhDqsE76d-E&t=7s,554,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Matthou,druid,130,softcore,https://d4builds.gg/builds/8eb39f32-5f59-4fdf-9f64-4de76b337214/?var=1,https://www.youtube.com/watch?v=YXQaswDRggE,615,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Yuhristeru,sorcerer,120,softcore,"""""",https://www.youtube.com/watch?v=usgQRdCXOPM,482,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
SKULM,necromancer,130,softcore,"""""",https://www.youtube.com/watch?v=cYJcTh0LVPk,696,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Alex,necromancer,101,softcore,"""""",https://www.youtube.com/watch?v=3gmzlKyUjMY,274,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
ShamanMovies,necromancer,130,softcore,"""""",https://www.youtube.com/watch?v=wWCyimM5iPk,689,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Spoiler Alert,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=D-UbcrWyB28,295,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Beatdropper,barbarian,120,softcore,https://mobalytics.gg/diablo-4/profile/c0b6a1be-3705-4aa2-9164-aa58b7652451/builds/6dd81b65-df3d-4fd5-a3ae-0ec0ecd0cc1e?coreTab=assigned-skills&equipmentTab=aspects-and-uniques&variantTab=1,https://www.youtube.com/watch?v=iSPrK5EX_3Q&t=318s,446,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
J_Macc,druid,135,softcore,https://maxroll.gg/d4/planner/au9506bi,https://www.youtube.com/watch?v=ZmdHS4J8W8Y&t=311s,816,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
OperatorOtter,sorcerer,120,softcore,https://maxroll.gg/d4/planner/,https://www.youtube.com/watch?v=813lLm9ymsY,107,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
秋葉-Akiha-,necromancer,145,softcore,"""""",https://www.bilibili.com/video/BV1QyYkeUE4D/,857,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
破晓之砂,sorcerer,130,softcore,https://www.d2core.com/d4/planner?bd=1ilk,https://www.bilibili.com/video/BV1qvYkeREEk/,597,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
被占用的安,rogue,140,softcore,"""""",https://www.bilibili.com/video/BV1mQY6eKEpT/,647,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Mekuna,sorcerer,150,softcore,https://mobalytics.gg/diablo-4/profile/488e94b2-25a8-4b09-95aa-f74e532482cc/builds/fe5bcb74-9f16-443a-9d91-21a97b0594cd,https://www.youtube.com/watch?v=yU-LwvEky4U,663,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Virgorie,rogue,141,softcore,https://maxroll.gg/d4/planner/yja304gm#2,https://www.youtube.com/watch?v=bjbPNLaNBaQ,875,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Virgorie,rogue,143,softcore,https://maxroll.gg/d4/planner/yja304gm#2,https://youtu.be/IoPmJZdF6Yc,720,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Darkness,necromancer,136,softcore,https://www.d2core.com/d4/planner?bd=1hgs&lang=zhTW,https://www.youtube.com/watch?v=DeY-y_PnDvY,805,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Matthou,druid,132,softcore,https://d4builds.gg/builds/8eb39f32-5f59-4fdf-9f64-4de76b337214/?var=1,https://www.youtube.com/watch?v=qHmSMD3bl4o,598,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Zaramos666,sorcerer,130,softcore,https://maxroll.gg/d4/planner/m76vt0c2#1,https://www.youtube.com/watch?v=uDoVqttGFm4,826,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
KroovyGG,rogue,120,softcore,"""""",https://www.youtube.com/watch?v=XuZitGO772E,274,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Scriblet,necromancer,130,softcore,https://maxroll.gg/d4/planner/9t5pm078,https://www.youtube.com/watch?v=gRtBs5Jud34,884,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
蓝萌君,druid,145,softcore,"""""",https://www.bilibili.com/video/BV1Rf421v7EF/,489,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
King Pig,necromancer,147,softcore,https://maxroll.gg/d4/planner/wn7130co,https://www.youtube.com/watch?v=D7yHFwF0_w8&t=88s,866,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
冲锋的米卡,necromancer,130,softcore,"""""",https://www.bilibili.com/video/BV1xAeJeGEof/,857,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
TheSixWings,necromancer,127,softcore,https://www.d2core.com/d4/planner?bd=1igG,https://www.bilibili.com/video/BV19TY2e8EC9/,666,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
蛋挞-百合长,rogue,101,softcore,https://www.d2core.com/d4/planner?bd=1hXr,https://www.bilibili.com/video/BV16ZeJevEcK/,195,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
고통받는 메피스토,druid,140,softcore,https://diablo4.inven.co.kr/db/paragon/74076,https://www.youtube.com/watch?v=j4iwiFvqpqM,720,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
STONE,druid,101,softcore,"""""",https://www.youtube.com/watch?v=Xz3oZfQ39x0,277,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
PC방사장써니,rogue,110,softcore,"""""",https://www.youtube.com/watch?v=x_mIACqjHv8,104,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
화이트,barbarian,101,softcore,"""""",https://www.youtube.com/watch?v=FcU4GmgPmCw,102,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
푸들멈머,sorcerer,125,softcore,"""""",https://www.youtube.com/watch?v=l1mIUZ__ev4,257,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Darin,rogue,101,softcore,https://maxroll.gg/d4/build-guides/andariels-puncture-rogue,https://www.youtube.com/watch?v=Q2NqnSiIXrg,161,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
윤썬TV,barbarian,101,softcore,https://diablo4.inven.co.kr/db/paragon/73581,https://www.youtube.com/watch?v=7IOzEpTbeHw,152,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
King Pig,necromancer,140,softcore,"""""",https://www.youtube.com/watch?v=TbGkH8tGVhg,707,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
小爸爸五花肉,sorcerer,141,softcore,https://www.d2core.com/d4/planner?bd=1iwV,https://www.bilibili.com/video/BV1XjepeFE2e/,620,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
蓝萌君,druid,150,softcore,https://www.d2core.com/d4/planner?bd=1igX,https://www.bilibili.com/video/BV1xw4m1k7gF/,763,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
SKULM,necromancer,135,softcore,https://d4builds.gg/builds/3cf581ba-5a08-4d29-b17a-3154ff23ea14/?var=1,https://www.youtube.com/watch?v=75KQcz2p8_s,663,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Sukhenkiy,rogue,120,softcore,https://maxroll.gg/d4/planner/tg1xc01v#1,https://www.youtube.com/watch?v=1Zbh5sEvjFM,294,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Stoyan Georgiev,druid,130,softcore,"""""",https://www.youtube.com/watch?v=E4d7KWVO8rg,737,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Stoyan Georgiev,druid,128,softcore,"""""",https://www.youtube.com/watch?v=raVozuXfvYQ,723,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
FP,rogue,140,softcore,"""""",https://www.youtube.com/watch?v=7rmBrQKneqI,791,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
BiSketto dayooo,rogue,128,softcore,"""""",https://www.youtube.com/watch?v=8FAcs_NBlDo,639,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Franz Games,rogue,119,softcore,"""""",https://www.youtube.com/watch?v=3r16QpbyIk8,280,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
BiSketto dayooo,rogue,126,softcore,"""""",https://www.youtube.com/watch?v=lQdaBfnFnXY,618,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
Tony Lak kheng,sorcerer,136,softcore,"""""",https://www.youtube.com/watch?v=rMvOAO_-ysU,843,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
新奇骰子匠人,sorcerer,119,softcore,"""""",https://www.bilibili.com/video/BV1yUeJerE6n/?spm_id_from=333.337,251,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
백범로,druid,140,softcore,"""""",https://www.youtube.com/watch?v=j5N-CFcEzes,823,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
북극토끼,sorcerer,110,softcore,"""""",https://www.youtube.com/watch?v=TOjqKvhU78c,425,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
흙손대장,sorcerer,134,softcore,"""""",https://www.youtube.com/watch?v=d3eh4WO3zVI,738,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
JEOOOOO,druid,129,softcore,"""""",https://www.youtube.com/watch?v=rqUV1D6VdQE,409,2024-08-12T04:00:00Z,2024-08-12T04:00:00Z
케일바라기,sorcerer,110,softcore,"""""",https://www.youtube.com/watch?v=K0TPPDqmKMQ,268,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
Ruin-Cloud,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1vyY2eNEds/,181,2024-08-13T04:00:00Z,2024-08-13T04:00:00Z
42岁还不会拉枪的FW,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1KwYoeyEwh/,133,2024-08-11T04:00:00Z,2024-08-11T04:00:00Z
清风风ouo,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV16hYgeMEuP/,81,2024-08-09T04:00:00Z,2024-08-09T04:00:00Z
红与薰,sorcerer,101,softcore,https://www.d2core.com/d4/planner?bd=1hTX,https://www.bilibili.com/video/BV18QYge9EHP/,87,2024-08-09T04:00:00Z,2024-08-09T04:00:00Z
MonetM,barbarian,101,softcore,"""""",https://www.bilibili.com/video/BV1CtYWemEpG/,194,2024-08-07T04:00:00Z,2024-08-07T04:00:00Z
Rise,rogue,130,softcore,https://maxroll.gg/d4/planner/sdgkx0v3#5,https://www.youtube.com/watch?v=SnwgNYfjqp4&t=10s,875,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Virgorie,rogue,145,softcore,https://maxroll.gg/d4/planner/yja304gm#2,https://youtu.be/zHDZEWAKHa8,886,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Jimmy,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=0XWlDOagVDM,65,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
sampy,rogue,129,softcore,"""""",https://www.youtube.com/watch?v=Xre14rqtV1I,470,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
DjBunnie,sorcerer,130,softcore,"""""",https://www.youtube.com/watch?v=0deMereODOI,581,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
FP,rogue,142,softcore,"""""",https://www.youtube.com/watch?v=3gl_19tMeYY,839,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Whatever the Meta,necromancer,124,softcore,https://d4builds.gg/builds/14f94ca5-77f7-4592-9909-5cdfc044aa1a/?var=1,https://www.youtube.com/watch?v=CownFrXxm6A,867,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
征服地板者雨将军,rogue,129,softcore,"""""",https://www.bilibili.com/video/BV13xe4e6Eaf/,362,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
迷你不贪,druid,148,softcore,https://www.d2core.com/d4/planner?bd=1hLw,https://www.bilibili.com/video/BV1n7eHe6EdF/,898,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
被占用的安,rogue,145,softcore,"""""",https://www.bilibili.com/video/BV1PoeWeQEHk/,900,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
葡萄有点酸_,druid,130,softcore,www.d2core.com/d4/planner?bd=1i4y,https://www.bilibili.com/video/BV1XjepeFE4p/,746,2024-08-14T04:00:00Z,2024-08-14T04:00:00Z
Mekuna,sorcerer,157,softcore,https://moba.lol/Mekuna,https://www.youtube.com/watch?v=8ljKyhw-ldc&feature=youtu.be,836,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Jimmy,sorcerer,101,softcore,"""""",https://www.youtube.com/watch?v=ZjJiILLwBRo,51,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
푸들멈머,sorcerer,135,softcore,"""""",https://www.youtube.com/watch?v=gi_eKDtV-SQ,287,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Matthou,druid,136,softcore,https://d4builds.gg/builds/8eb39f32-5f59-4fdf-9f64-4de76b337214/?var=1,https://www.youtube.com/watch?v=13rb8eg3sF0,761,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Light,rogue,130,softcore,https://maxroll.gg/d4/planner/t09xt07i,https://www.youtube.com/watch?v=D1xv24WhdPE,319,2024-08-16T04:00:00Z,2024-08-16T04:00:00Z
Duncan,barbarian,101,softcore,"""""",https://www.youtube.com/watch?v=rky4PHCdlJg,96,2024-08-16T04:00:00Z,2024-08-16T04:00:00Z
Andy,barbarian,130,softcore,https://mobalytics.gg/diablo-4/profile/c0b6a1be-3705-4aa2-9164-aa58b7652451/builds/6dd81b65-df3d-4fd5-a3ae-0ec0ecd0cc1e?coreTab=paragon-board&equipmentTab=aspects-and-uniques&variantTab=1,https://www.youtube.com/watch?v=-p0VdTDNpDg&t=18s,848,2024-08-16T04:00:00Z,2024-08-16T04:00:00Z
被占用的安,rogue,145,softcore,https://www.d2core.com/d4/planner?bd=1i5x,https://www.bilibili.com/video/BV1hheKe1EAs/,811,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
打灯龙路过,sorcerer,153,softcore,"""""",https://www.bilibili.com/video/BV1rMeKehEFs/,651,2024-08-15T04:00:00Z,2024-08-15T04:00:00Z
Zir,rogue,140,softcore,https://maxroll.gg/d4/planner/wgajy07l,https://www.youtube.com/watch?v=3TYDwz56G8w,646,2024-08-16T04:00:00Z,2024-08-16T04:00:00Z
Arccueid,sorcerer,152,softcore,https://www.d2core.com/d4/planner?bd=1i2A,https://www.bilibili.com/video/BV1DT42167XP/,840,2024-08-16T04:00:00Z,2024-08-16T04:00:00Z
Worthless,sorcerer,120,softcore,"""""",https://www.youtube.com/watch?v=A9Z-mVWjtsc,290,2002-04-10T04:00:00Z,2002-04-10T04:00:00Z
Duncan,barbarian,101,softcore,"""""",https://youtu.be/tCsT131frgM?si=QOmyDyT2phXU_WL0,74,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
古一小法師,sorcerer,101,softcore,"""""",https://www.bilibili.com/video/BV1YcpdeFECQ/?vd_source=2b0ea61e474837ce24927ebd63e0137e,82,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Nemo,necromancer,135,softcore,"""""",https://www.youtube.com/watch?v=aEuxNDIt_Fg,849,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
鳳華,sorcerer,152,softcore,"""""",https://www.bilibili.com/video/BV1qr421M7tZ/,799,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
ChrisGrandPa,sorcerer,139,softcore,https://mobalytics.gg/diablo-4/profile/488e94b2-25a8-4b09-95aa-f74e532482cc/builds/fe5bcb74-9f16-443a-9d91-21a97b0594cd?coreTab=assigned-skills&equipmentTab=aspects-and-uniques&variantTab=0,https://www.youtube.com/watch?v=m4rllkRVAAI,882,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Slott,rogue,144,softcore,"""""",https://www.youtube.com/watch?v=0dsxIE8ihLE,829,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Seroc Ifkre,necromancer,144,softcore,https://www.wowhead.com/diablo-4/build/bone-spirit-endgame-16075,https://www.youtube.com/watch?v=6w4tmlBJpto,829,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Stoyan Georgiev,rogue,132,softcore,"""""",https://www.youtube.com/watch?v=xPeNY9CrmF0,486,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
FP,rogue,143,softcore,"""""",https://www.youtube.com/watch?v=vJPN_KSU3pw,881,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
TheSixWings,necromancer,131,softcore,https://www.d2core.com/d4/planner?bd=1iKd,https://www.bilibili.com/video/BV1jqpdevEPf/,828,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
被占用的安,rogue,146,softcore,"""""",https://www.bilibili.com/video/BV1R7pRebEN2/,814,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
世界秩序变革者,sorcerer,145,softcore,"""""",https://www.bilibili.com/video/BV1CNpoejEPd/,524,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
松鹤灬,rogue,140,softcore,"""""",https://www.bilibili.com/video/BV1ub421J7Ev/,719,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Caim,rogue,132,softcore,"""""",https://www.youtube.com/watch?v=y-xdoQgz14k,733,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
SKULM,necromancer,140,softcore,https://d4builds.gg/builds/3cf581ba-5a08-4d29-b17a-3154ff23ea14/?var=1,https://www.youtube.com/watch?v=voYRgpw2gTc,840,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Virgorie,rogue,146,softcore,https://maxroll.gg/d4/planner/yja304gm#3,https://youtu.be/dDexImFWPtA,887,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Doc,rogue,129,hardcore,"""""",https://www.youtube.com/watch?v=nR652bo6XeQ,341,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
鳳華,sorcerer,101,softcore,鳳華,https://www.bilibili.com/video/BV1KT421r77y/,43,2024-08-18T04:00:00Z,2024-08-18T04:00:00Z
Duncan,barbarian,130,softcore,"""""",https://youtu.be/Zlbp86Rtfvk?si=RZ3R7zA8OwlPcWua,763,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Valens14,rogue,138,softcore,"""""",https://www.youtube.com/watch?v=ZdG19SBChDk,615,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Mxmx,sorcerer,135,softcore,https://mobalytics.gg/diablo-4/profile/488e94b2-25a8-4b09-95aa-f74e532482cc/builds/fe5bcb74-9f16-443a-9d91-21a97b0594cd,https://youtu.be/Vl_j3iEJqkg?si=dnH4457I-G1kTAZx,449,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Doc,rogue,131,hardcore,"""""",https://youtu.be/s1VH7JVrzbM,660,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Casual,sorcerer,143,softcore,"""""",https://www.youtube.com/watch?v=VuxuEwR4T-8,807,2024-08-17T04:00:00Z,2024-08-17T04:00:00Z
Darkness,necromancer,137,softcore,"""""",https://www.youtube.com/watch?v=RY0uzRizgyY,467,2024-08-18T04:00:00Z,2024-08-18T04:00:00Z
